   ,number ,value                 ,datetime_start             ,datetime_complete          ,duration               ,params_activation_fn ,params_batch_size ,params_clip_range ,params_ent_coef        ,params_gae_lambda ,params_gamma ,params_learning_rate   ,params_max_grad_norm ,params_n_epochs ,params_n_steps ,params_net_arch ,params_vf_coef        ,state
56 ,    56 ,-19.656694000000005   ,2024-01-27 04:46:36.419290 ,2024-01-27 04:50:30.045776 ,0 days 00:03:53.626486 ,relu                 ,              256 ,              0.3 ,1.011277536586379e-08  ,             1.0  ,      0.95   ,0.03854921279799803    ,                 0.7 ,             20 ,            32 ,small           ,0.9132477200820613    ,PRUNED
57 ,    57 ,2.4141667999999994    ,2024-01-27 04:50:30.046777 ,2024-01-27 04:57:53.354665 ,0 days 00:07:23.307888 ,relu                 ,               32 ,              0.3 ,1.195420183174966e-07  ,             1.0  ,      0.95   ,0.0022215530137305677  ,                 0.7 ,             20 ,            32 ,small           ,0.9987248289379282    ,COMPLETE
58 ,    58 ,-19.656694000000005   ,2024-01-27 04:57:53.355666 ,2024-01-27 05:00:44.239032 ,0 days 00:02:50.883366 ,tanh                 ,              256 ,              0.4 ,5.516980960897468e-07  ,             0.98 ,      0.99   ,0.013205777229603878   ,                 0.3 ,             10 ,          1024 ,medium          ,0.8706417504391111    ,PRUNED
59 ,    59 ,-16.924113            ,2024-01-27 05:00:44.240030 ,2024-01-27 05:04:39.981596 ,0 days 00:03:55.741566 ,relu                 ,               64 ,              0.3 ,3.666157794954143e-08  ,             1.0  ,      0.95   ,0.07170347516927181    ,                 2.0 ,             20 ,            32 ,small           ,0.736735922345533     ,PRUNED
60 ,    60 ,4.1328469             ,2024-01-27 05:04:39.982595 ,2024-01-27 05:10:01.343572 ,0 days 00:05:21.360977 ,relu                 ,              512 ,              0.1 ,0.008026104269443671   ,             0.95 ,      0.995  ,0.0007326346838192612  ,                 0.7 ,             20 ,          2048 ,tiny            ,0.695483343940813     ,COMPLETE
61 ,    61 ,-10.797830399999999   ,2024-01-27 05:10:01.344577 ,2024-01-27 05:12:52.517219 ,0 days 00:02:51.172642 ,relu                 ,              512 ,              0.1 ,0.0031466402612398726  ,             0.95 ,      0.995  ,0.0004362682212314241  ,                 0.7 ,             20 ,          2048 ,tiny            ,0.7119718117747441    ,PRUNED
62 ,    62 ,-6.660758500000002    ,2024-01-27 05:12:52.518221 ,2024-01-27 05:15:43.044066 ,0 days 00:02:50.525845 ,relu                 ,              512 ,              0.1 ,0.0538815974185046     ,             0.95 ,      0.995  ,0.0008624453795905884  ,                 0.7 ,             20 ,           512 ,tiny            ,0.8047714949562107    ,PRUNED
63 ,    63 ,0.0062762999999995015 ,2024-01-27 05:15:43.045067 ,2024-01-27 05:18:33.814326 ,0 days 00:02:50.769259 ,relu                 ,              512 ,              0.1 ,0.008228702351698699   ,             0.95 ,      0.995  ,0.003735141826451899   ,                 0.7 ,             20 ,          2048 ,tiny            ,0.7577555580030755    ,PRUNED
64 ,    64 ,-4.4437841            ,2024-01-27 05:18:33.815327 ,2024-01-27 05:21:24.886465 ,0 days 00:02:51.071138 ,relu                 ,              512 ,              0.1 ,3.483804355324649e-05  ,             0.99 ,      0.9    ,0.001334849790175498   ,                 0.6 ,             20 ,          2048 ,tiny            ,0.6459053268786037    ,PRUNED
65 ,    65 ,-8.749168399999999    ,2024-01-27 05:21:24.887464 ,2024-01-27 05:24:25.109135 ,0 days 00:03:00.221671 ,relu                 ,                8 ,              0.3 ,0.0001397275930929051  ,             1.0  ,      0.995  ,0.00017875732171883312 ,                 5.0 ,              1 ,           128 ,small           ,0.6889163232722277    ,PRUNED
66 ,    66 ,2.6852913000000003    ,2024-01-27 05:24:25.110135 ,2024-01-27 05:33:33.865791 ,0 days 00:09:08.755656 ,relu                 ,              128 ,              0.1 ,0.022017255176497903   ,             0.95 ,      0.9999 ,0.0007665193620573559  ,                 0.8 ,             20 ,            16 ,tiny            ,0.969811636547188     ,COMPLETE
67 ,    67 ,-0.43188369999999965  ,2024-01-27 05:33:33.866792 ,2024-01-27 05:37:20.200617 ,0 days 00:03:46.333825 ,relu                 ,              128 ,              0.1 ,0.014855676642122053   ,             0.95 ,      0.9999 ,0.0009208714143367297  ,                 0.8 ,             10 ,            16 ,tiny            ,0.9239775848006447    ,PRUNED
68 ,    68 ,-4.5550809            ,2024-01-27 05:37:20.201618 ,2024-01-27 05:40:38.140356 ,0 days 00:03:17.938738 ,tanh                 ,              128 ,              0.1 ,0.025997866153956165   ,             0.95 ,      0.9999 ,0.0003480946451113641  ,                 0.8 ,              5 ,            16 ,tiny            ,0.9562513151940754    ,PRUNED
69 ,    69 ,2.0741994999999998    ,2024-01-27 05:40:38.141357 ,2024-01-27 05:49:48.169405 ,0 days 00:09:10.028048 ,relu                 ,              128 ,              0.1 ,1.6860817015834826e-05 ,             0.95 ,      0.9999 ,9.253506632938126e-05  ,                 0.8 ,             20 ,            16 ,tiny            ,0.9778591954868724    ,COMPLETE
70 ,    70 ,-8.389724             ,2024-01-27 05:49:48.170405 ,2024-01-27 05:52:42.766380 ,0 days 00:02:54.595975 ,relu                 ,              128 ,              0.1 ,0.002763400181536356   ,             0.8  ,      0.9999 ,0.0006483062118401964  ,                 0.5 ,             10 ,          2048 ,tiny            ,0.6149029907364135    ,PRUNED
71 ,    71 ,1.8452884             ,2024-01-27 05:52:42.767381 ,2024-01-27 05:59:52.890020 ,0 days 00:07:10.122639 ,relu                 ,               32 ,              0.4 ,0.020996140754445555   ,             0.95 ,      0.95   ,0.0021923389612593263  ,                 0.9 ,             20 ,            64 ,tiny            ,0.8728333286054097    ,COMPLETE
72 ,    72 ,0.9399423             ,2024-01-27 05:59:52.891022 ,2024-01-27 06:04:49.034644 ,0 days 00:04:56.143622 ,relu                 ,              256 ,              0.2 ,0.0008882674459655481  ,             0.98 ,      0.99   ,0.005040552266404839   ,                 0.7 ,             20 ,            16 ,small           ,0.8414263696063828    ,PRUNED
73 ,    73 ,-5.5841172            ,2024-01-27 06:04:49.034644 ,2024-01-27 06:11:34.144048 ,0 days 00:06:45.109404 ,relu                 ,              512 ,              0.3 ,0.046482540284519897   ,             1.0  ,      0.95   ,0.0017131197922720376  ,                 0.5 ,             20 ,             8 ,tiny            ,0.7998913665264055    ,PRUNED
