   ,number ,value               ,datetime_start             ,datetime_complete          ,duration               ,params_batch_size ,params_buffer_size ,params_exploration_final_eps ,params_exploration_fraction ,params_gamma ,params_learning_rate   ,params_learning_starts ,params_net_arch ,params_subsample_steps ,params_target_update_interval ,params_train_freq ,state
69 ,    69 ,0.30443379999999937 ,2024-01-26 17:52:12.781605 ,2024-01-26 17:55:03.471816 ,0 days 00:02:50.690211 ,               16 ,           1000000 ,        0.06528669969079083  ,       0.2907298027861508   ,      0.95   ,0.0009910890764903858  ,                 10000 ,tiny            ,                     1 ,                        10000 ,                4 ,PRUNED
70 ,    70 ,-16.929323399999998 ,2024-01-26 17:55:03.472817 ,2024-01-26 17:57:50.186276 ,0 days 00:02:46.713459 ,              100 ,            100000 ,        0.08496699381389111  ,       0.18139307633981605  ,      0.99   ,0.0073163945588363205  ,                 20000 ,medium          ,                     2 ,                        10000 ,             1000 ,PRUNED
71 ,    71 ,4.606088099999999   ,2024-01-26 17:57:50.187280 ,2024-01-26 18:03:24.233324 ,0 days 00:05:34.046044 ,              100 ,             50000 ,        0.09614596116697284  ,       0.20509840267012555  ,      0.99   ,0.00046075632086114635 ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
72 ,    72 ,-1.9664086000000005 ,2024-01-26 18:03:24.234325 ,2024-01-26 18:06:18.334485 ,0 days 00:02:54.100160 ,              100 ,             50000 ,        0.08759315758688513  ,       0.25526942856975154  ,      0.99   ,0.000523620377869617   ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,PRUNED
73 ,    73 ,4.605653            ,2024-01-26 18:06:18.335484 ,2024-01-26 18:11:49.889176 ,0 days 00:05:31.553692 ,              100 ,             50000 ,        0.03822355511049187  ,       0.31146170664931394  ,      0.99   ,0.0034258825083666104  ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
74 ,    74 ,2.4263901           ,2024-01-26 18:11:49.890175 ,2024-01-26 18:17:23.865776 ,0 days 00:05:33.975601 ,              100 ,             50000 ,        0.10358081730940565  ,       0.23705413347053692  ,      0.999  ,0.0002877209603888625  ,                 10000 ,medium          ,                     2 ,                        10000 ,                1 ,COMPLETE
75 ,    75 ,0.22651469999999999 ,2024-01-26 18:17:23.865776 ,2024-01-26 18:20:18.613302 ,0 days 00:02:54.747526 ,              100 ,           1000000 ,        0.07509672011652277  ,       0.2851377855614012   ,      0.99   ,0.00017982088721211017 ,                 10000 ,medium          ,                     4 ,                        10000 ,                1 ,PRUNED
76 ,    76 ,4.612115            ,2024-01-26 18:20:18.614303 ,2024-01-26 18:25:53.135129 ,0 days 00:05:34.520826 ,              128 ,             50000 ,        0.05114285460223065  ,       0.2230404670004582   ,      0.995  ,0.0012126124279776037  ,                 10000 ,medium          ,                     2 ,                        15000 ,                1 ,COMPLETE
77 ,    77 ,-6.228928499999999  ,2024-01-26 18:25:53.136128 ,2024-01-26 18:28:45.109746 ,0 days 00:02:51.973618 ,              100 ,             50000 ,        0.11850992041327599  ,       0.15043717960424927  ,      0.99   ,9.010111586335316e-05  ,                 10000 ,tiny            ,                     2 ,                        20000 ,                1 ,PRUNED
78 ,    78 ,4.6178772           ,2024-01-26 18:28:45.110748 ,2024-01-26 18:34:18.454765 ,0 days 00:05:33.344017 ,               32 ,             10000 ,        0.10831035007471626  ,       0.3343748181063665   ,      0.99   ,5.603050219007605e-05  ,                  1000 ,medium          ,                     8 ,                        10000 ,                1 ,COMPLETE
79 ,    79 ,-16.930150699999995 ,2024-01-26 18:34:18.455765 ,2024-01-26 18:37:05.695304 ,0 days 00:02:47.239539 ,               32 ,             10000 ,        0.10993604445676422  ,       0.32901456148743013  ,      0.98   ,6.0056633656026144e-05 ,                  1000 ,small           ,                     8 ,                         1000 ,              256 ,PRUNED
80 ,    80 ,-16.928221999999998 ,2024-01-26 18:37:05.695304 ,2024-01-26 18:39:54.905874 ,0 days 00:02:49.210570 ,               32 ,             10000 ,        0.1306185988723103   ,       0.13071712894517595  ,      0.99   ,4.0045402450677344e-05 ,                  1000 ,medium          ,                     8 ,                         5000 ,                8 ,PRUNED
81 ,    81 ,4.6141134           ,2024-01-26 18:39:54.906873 ,2024-01-26 18:45:31.756047 ,0 days 00:05:36.849174 ,               32 ,             10000 ,        0.09219501247397245  ,       0.17372178651302184  ,      0.99   ,0.00022798766378979586 ,                  1000 ,medium          ,                     8 ,                        10000 ,                1 ,COMPLETE
82 ,    82 ,-12.736954800000003 ,2024-01-26 18:45:31.757047 ,2024-01-26 18:48:30.174681 ,0 days 00:02:58.417634 ,               32 ,             10000 ,        0.08097893900166227  ,       0.25320631736730226  ,      0.99   ,0.04772231718090865    ,                  1000 ,medium          ,                     8 ,                        10000 ,                1 ,PRUNED
